rep,scenario,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,ci_family_low,ci_family_high,ci_era_low,ci_era_high,ci_unique_low,ci_unique_high,converged,n_convergence_warnings,d_collinearity,d_se_inflation,d_profile_flat,d_non_convergence,detected,silent_ci_covers
68,B,0.4136528920466522,0.0008544663518993804,0.4264531970445787,0.4918814436292849,0.001016059964250206,0.5071024964064649,4.731768999193641e-17,0.9992384754420987,1.8415131547645636e-16,0.9999999999999748,2.1399954566997762e-14,0.6176708221448698,1,0,1,1,1,0,1,1
69,B,0.49431197996567516,0.03701471421593145,0.44054584737280816,0.5086181148559581,0.0380859759210092,0.4532959092230328,8.756510762695818e-27,0.9999999999999791,8.756510762695824e-27,0.9999999999999777,1.887399401159424e-14,7.235665050534618e-09,1,0,1,1,1,0,1,0
70,B,0.3857766096667781,0.26855029797992225,0.25620081059831507,0.4236846412653292,0.29493917933386576,0.28137617940080495,8.756510762696101e-27,0.9999999999999881,8.75651076269611e-27,0.999999999999987,1.0819328375336921e-14,5.300951672379755e-14,1,0,1,1,1,0,1,0
71,B,0.42362858108494966,2.7756172906663444e-05,0.3806053747778074,0.5267297631422798,3.4511369236277454e-05,0.47323572548848386,1.0051437197377699e-19,0.999998680236964,3.529831304307611e-19,0.9999999999999793,1.9067422499258664e-14,0.44131691358144004,1,0,1,1,1,0,1,1
72,B,0.6412490329703812,0.0002717313372203354,0.3096535864089511,0.6741656064288382,0.0002856798409414959,0.3255487137302202,7.400917561114485e-15,0.9591546782392545,1.5208851326441164e-14,0.9999999999999669,1.568380851584484e-14,0.5671544738961737,1,0,1,1,1,0,1,1
73,B,0.9155561624435395,2.061153622438558e-09,0.491168328994143,0.6508425542277636,1.4652148533448872e-09,0.34915744430702156,2.614617632484715e-14,0.8803065843397017,2.6707876090481656e-14,0.9999999999999327,2.3481076556836384e-14,0.7009976333389756,1,0,1,1,1,0,1,1
74,B,0.3822358154547949,0.3815675156246578,0.23668977070277142,0.3820474271875546,0.3813794567348382,0.23657311607760725,8.756510762696138e-27,0.9999999999999889,8.756510762696141e-27,0.9999999999999879,1.0067856069510874e-14,6.893665274781773e-14,1,0,1,1,1,0,1,0
75,B,0.003492521418109383,0.1062880018766565,0.2623554500441779,0.009385068008269043,0.28561603685610026,0.7049988951356306,8.756510762696143e-27,0.9999999999999878,8.756510762696144e-27,0.9999999999999853,1.141555499546307e-14,0.07577700121637604,1,0,1,1,1,0,1,0
76,B,1.4503056740902014,0.020262327885549512,0.13801497242056115,0.9016045160085627,0.012596383405807087,0.08579910058563005,5.744207041736186e-26,0.9999999999999759,1.0256386348328467e-26,0.9999999999999927,6.879826495416097e-15,0.038362756920167995,1,0,1,1,1,0,1,0
77,B,0.49830264236742744,0.04076695658572858,0.4942737240992423,0.48222370169818163,0.03945151207374801,0.4783247862280704,8.756510762695718e-27,0.9999999999999771,8.756510762695732e-27,0.9999999999999751,2.082119154751167e-14,1.0379516121081394e-13,1,0,1,1,1,0,1,0
